label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22
person_id,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752,1180752
alt_dest,404,419,440,497,540,551,661,682,747,749,755,772,777,778,779,780,785,790,793,922,1009,1257
prob,0.0006276186904869974,0.0005035619833506644,0.0005444258567877114,0.0006003176677040756,0.0003750997711904347,0.0008793514571152627,0.0005542024737223983,0.0004778346046805382,0.00693900091573596,0.015553658828139305,0.15296423435211182,0.0024390872567892075,0.005430330988019705,0.012597756460309029,0.02480371482670307,0.013482642360031605,0.005040879361331463,0.0023055386263877153,0.001454847864806652,0.00018516920681577176,0.00017846027913037688,9.500628220848739e-05
pick_count,1,1,1,1,1,1,1,1,1,1,7,1,1,2,1,2,1,1,1,1,1,1
hhsize,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
density_index,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501,0.6296254323592501
age,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
age_16_p,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
age_16_to_19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
auto_ownership,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
num_workers,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
value_of_time,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35
TAZ,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755,755
in_period,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD
out_period,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM
duration,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_parent_tour_mode,,,,,,,,,,,,,,,,,,,,,,
work_tour_is_drive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_mandatory,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_joint (2),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_escort,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ivot,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874
dest_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_density_index,0.04813505360633331,1.1550614675915365,1.6748204185124305,0.6020183376783526,4.0867932783830545,2.179749544341169,1.7165086287445621,1.2643699491116507,0.03055838123198947,1.271624082729552,0.6296254323592501,0.9081242316244557,4.603812873892516,2.379401737749006,0.6529270661352554,0.08975300525591054,1.5006973776044308,0.24631390869273095,1.471091637397644,1.9558501491949944,5.383832369638338,0.41359314299296185
_walk_transit_origin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
_walk_transit_destination,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014
dest_density_measure,641.5534758879554,11669.963778893976,13462.17237133465,2787.3927457838986,16303.967543172837,12085.95423291506,10808.150813082419,8343.797648769996,729.5229440904963,10743.515833094858,5578.776372491014,11986.473747058735,25769.404085601935,10070.925876951818,8035.775568875169,1139.146248685228,12146.85149333501,6603.460605670861,13680.181088202344,11353.474021086176,36905.61427859229,8388.800564917776
origin_density,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
dest_density,4,2,2,3,1,2,2,2,4,2,2,2,1,2,2,4,2,2,2,2,1,2
origin_zone_taxi_wait_time_mean,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_taxi_wait_time_mean,17.3,9.5,9.5,13.3,5.5,9.5,9.5,9.5,17.3,9.5,9.5,9.5,5.5,9.5,9.5,17.3,9.5,9.5,9.5,9.5,5.5,9.5
dest_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origTaxiWaitTime,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002
destTaxiWaitTime,17.3,9.500000000000002,9.500000000000002,13.300000000000002,5.5,9.500000000000002,9.500000000000002,9.500000000000002,17.3,9.500000000000002,9.500000000000002,9.500000000000002,5.5,9.500000000000002,9.500000000000002,17.3,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,5.5,9.500000000000002
origin_zone_singleTNC_wait_time_mean,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_singleTNC_wait_time_mean,8.5,6.3,6.3,8.4,3.0,6.3,6.3,6.3,8.5,6.3,6.3,6.3,3.0,6.3,6.3,8.5,6.3,6.3,6.3,6.3,3.0,6.3
dest_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSingleTNCWaitTime,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999
destSingleTNCWaitTime,8.5,6.299999999999999,6.299999999999999,8.4,3.0000000000000004,6.299999999999999,6.299999999999999,6.299999999999999,8.5,6.299999999999999,6.299999999999999,6.299999999999999,3.0000000000000004,6.299999999999999,6.299999999999999,8.5,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,3.0000000000000004,6.299999999999999
origin_zone_sharedTNC_wait_time_mean,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_sharedTNC_wait_time_mean,15.0,8.0,8.0,11.0,5.0,8.0,8.0,8.0,15.0,8.0,8.0,8.0,5.0,8.0,8.0,15.0,8.0,8.0,8.0,8.0,5.0,8.0
dest_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSharedTNCWaitTime,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998
destSharedTNCWaitTime,15.0,7.999999999999998,7.999999999999998,11.000000000000002,4.999999999999999,7.999999999999998,7.999999999999998,7.999999999999998,15.0,7.999999999999998,7.999999999999998,7.999999999999998,4.999999999999999,7.999999999999998,7.999999999999998,15.0,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,4.999999999999999,7.999999999999998
totalWaitTaxi,26.800000000000004,19.000000000000004,19.000000000000004,22.800000000000004,15.000000000000002,19.000000000000004,19.000000000000004,19.000000000000004,26.800000000000004,19.000000000000004,19.000000000000004,19.000000000000004,15.000000000000002,19.000000000000004,19.000000000000004,26.800000000000004,19.000000000000004,19.000000000000004,19.000000000000004,19.000000000000004,15.000000000000002,19.000000000000004
totalWaitSingleTNC,14.799999999999999,12.599999999999998,12.599999999999998,14.7,9.299999999999999,12.599999999999998,12.599999999999998,12.599999999999998,14.799999999999999,12.599999999999998,12.599999999999998,12.599999999999998,9.299999999999999,12.599999999999998,12.599999999999998,14.799999999999999,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,9.299999999999999,12.599999999999998
totalWaitSharedTNC,23.0,15.999999999999996,15.999999999999996,19.0,12.999999999999996,15.999999999999996,15.999999999999996,15.999999999999996,23.0,15.999999999999996,15.999999999999996,15.999999999999996,12.999999999999996,15.999999999999996,15.999999999999996,23.0,15.999999999999996,15.999999999999996,15.999999999999996,15.999999999999996,12.999999999999996,15.999999999999996
_free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_dest_hourly_peak_parking_cost,0.5016640487267858,0.0,6.820873986371093,1.2669147185707577,17.45074656933916,4.353568185585075,5.634890556626631,0.0,0.0,0.0,0.0,0.0,25.536953009699694,5.9566725127644125,0.0,0.0,0.0,0.0,0.0,15.310964246112864,88.52845425955039,2.3565265742004597
_dest_hourly_offpeak_parking_cost,1.4995300347957932,0.0,21.762163936866912,3.934192551417549,49.80440588852805,0.0,19.615478978481995,0.03987549292145332,0.0,0.0,0.0,0.0,68.6439726565672,21.741229472216894,0.0,0.0,0.0,0.0,0.0,42.16754192621981,142.7948147984667,0.8940887693121198
_hourly_peak_parking_cost,0.5016640487267858,0.0,6.820873986371093,1.2669147185707577,17.45074656933916,4.353568185585075,5.634890556626631,0.0,0.0,0.0,0.0,0.0,25.536953009699694,5.9566725127644125,0.0,0.0,0.0,0.0,0.0,15.310964246112864,88.52845425955039,2.3565265742004597
_hourly_offpeak_parking_cost,1.4995300347957932,0.0,21.762163936866912,3.934192551417549,49.80440588852805,0.0,19.615478978481995,0.03987549292145332,0.0,0.0,0.0,0.0,68.6439726565672,21.741229472216894,0.0,0.0,0.0,0.0,0.0,42.16754192621981,142.7948147984667,0.8940887693121198
daily_parking_cost,8.99718020877476,0.0,130.57298362120147,23.605155308505292,298.82643533116834,0.0,117.69287387089197,0.23925295752871995,0.0,0.0,0.0,0.0,411.8638359394032,130.44737683330135,0.0,0.0,0.0,0.0,0.0,253.00525155731887,856.7688887908001,5.364532615872719
distance,11.489999771118164,13.90999984741211,16.450000762939453,22.40999984741211,15.380000114440918,14.420000076293945,23.139999389648438,20.520000457763672,3.690000057220459,3.5999999046325684,0.8600000143051147,7.960000038146973,4.460000038146973,4.309999942779541,2.5299999713897705,2.630000114440918,6.5,10.0600004196167,10.6899995803833,27.56999969482422,31.18000030517578,62.58000183105469
sov_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sovtoll_available,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov2_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2toll_available,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov3_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3toll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_local_available,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,False
walk_commuter_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_express_available,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_heavyrail_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
walk_lrf_available,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_local_available,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,False
drive_commuter_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_express_available,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False
drive_heavyrail_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_lrf_available,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
destination_in_cbd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
